 (0.4866817845556715, 0.549168951410761)
(0.4949201990965185, 0.5489748098167351)
(0.5105319188986261, 0.53025541961193681)
(0.5064612611149616, 0.5280635268000036)
(0.4947576277187779, 0.5116498769543399)
(0.30176169837516637, 0.7274890158477515)
(0.5105319188986261, 0.5302541961193681)
(0.5064612611149616, 0.5280635268000036)
(0.4947576277187779, 0.5116498769543399)
(0.30176169837516637, 0.7274890158477515)
(0.6519161807184997, 0.3045585613845179)
(0.6482276758340694, 0.30060709427954097)
(0.6519161807184997, 0.3045585613845179)
(0.65631281967961, 0.3070986415902664)
